AccelerationX,AccelerationY,AccelerationZ
-2.15,1.00,-2.59
-3.85,3.37,5.02
0.32,0.37,8.55
2.49,-7.75,6.11
-0.49,-6.13,-0.50
-2.73,-1.69,-1.29
-2.85,-1.22,2.91
-0.02,-2.39,3.19
0.34,-2.02,0.25
-1.41,-1.76,0.90
-1.23,-0.47,2.28
-0.43,-1.25,1.37
-0.63,-0.21,0.80
-0.70,0.01,2.29
-0.44,-0.19,1.83
-0.55,-0.52,0.58
-0.18,0.48,2.48
0.07,0.15,-0.04
-0.41,0.56,0.71
0.30,1.04,0.45
-0.37,0.20,0.92
-0.75,0.69,2.37
-0.92,0.52,3.29
2.08,0.10,-1.95
1.54,0.89,-0.75
1.13,0.21,-1.30
0.50,-0.11,-0.55
1.22,0.83,-0.33
0.73,-0.65,-0.84
0.23,0.26,-0.66
0.76,0.48,0.18
0.32,-0.60,-0.35
-0.05,0.20,-0.11
0.65,0.39,-0.05
0.32,-0.26,0.31
-0.04,-0.18,-0.13
0.08,0.44,0.32
1.04,0.37,-0.40
-0.15,-0.20,-0.21
-0.50,0.68,1.72
0.73,-0.54,-0.66
0.72,0.10,-0.61
1.09,-0.39,-0.93
1.04,5.37,-1.58
0.11,0.53,-0.83
-0.42,-1.44,-0.35
-0.47,-0.94,1.35
0.61,-0.24,1.46
1.02,-0.38,-2.80
-0.05,-0.46,-0.02
0.46,0.50,0.76
0.16,-0.13,-0.23
-0.41,0.27,0.91
0.45,0.12,-0.93
0.15,0.45,-0.33
0.33,1.23,-0.76
-0.38,6.80,-2.25
-0.31,1.70,0.01
-0.25,-2.09,-0.38
-0.15,-0.96,3.11
0.71,0.65,1.05
-0.44,0.31,0.52
0.00,-1.98,1.16
0.06,3.51,1.42
0.08,0.37,-0.66
0.25,-0.07,0.47
-0.19,1.55,0.53
0.41,1.24,-0.46
1.06,2.10,-0.20
0.62,-0.07,-1.03
0.54,-1.18,-0.60
0.17,-2.26,0.67
-0.23,-0.01,1.63
-0.11,1.63,-1.02
-0.12,0.25,-0.07
-0.66,1.92,0.50
-0.72,2.82,1.64
-0.70,1.89,-1.51
0.97,-4.31,-0.58
0.94,-3.00,-1.52
-0.69,-0.76,3.60
-0.53,-1.18,0.48
-0.21,0.80,0.29
0.67,0.44,0.35
0.28,1.71,0.49
0.06,0.92,0.44
-0.64,1.78,-1.60
-1.49,1.94,-2.13
-2.28,1.58,-1.33
-2.45,-0.65,2.37
0.75,-2.57,1.56
3.63,-7.13,5.08
0.68,-2.15,1.19
-0.24,-0.70,0.13
0.25,-0.10,-0.75
0.29,-0.66,-0.17
-0.87,-0.18,-0.08
-2.04,0.38,-1.64
-2.37,-2.03,-1.07
-3.06,-6.40,0.95
0.30,-9.91,-2.53
-0.19,-5.66,-2.57
-1.50,-3.44,-3.26
-2.24,-2.31,-2.83
-1.60,-1.31,-3.31
-0.85,-1.62,-3.03
-1.11,-1.25,-2.17
-1.13,-0.83,-1.30
-0.90,-0.69,-1.25
-0.61,-0.39,-0.81
-0.54,-0.67,-0.77
-0.46,-0.01,-0.62
-0.23,-0.28,-0.57
-0.11,-0.03,-0.61
-0.11,-0.11,-0.25
-0.03,-0.48,0.32
0.76,1.50,-1.33
-0.28,0.99,-0.08
-0.91,-1.35,-0.95
-1.15,0.26,0.89
-2.02,-0.73,1.04
-1.97,0.27,1.73
-1.85,-0.37,1.83
-1.28,-0.38,1.24
-0.94,0.15,1.00
-0.86,-0.11,0.69
-0.49,-0.04,0.76
-0.53,-0.47,0.51
-0.42,0.18,0.64
-0.43,-0.58,1.46
-0.14,0.64,0.14
-0.21,-0.21,0.37
-0.18,0.11,0.44
-0.27,-0.12,0.24
0.03,0.14,0.28
-0.15,0.13,0.36
-0.05,0.24,0.23
0.01,-0.16,0.09
-0.09,0.11,0.25
-0.02,-0.03,0.12
0.14,0.08,0.06
0.03,0.06,0.05
-0.03,0.03,0.19
-0.19,-0.11,0.29
0.06,0.38,-0.09
-0.00,-0.16,0.25
-0.19,-0.35,0.47
-0.03,0.25,0.13
-0.11,-0.01,0.13
0.13,0.15,-0.19
-0.17,0.13,0.30
0.07,-0.85,0.17
-0.01,-0.27,-0.02
-0.08,-0.07,0.03
-0.07,-0.04,0.09
0.08,-0.15,0.07
-0.11,0.29,0.25
-0.12,0.36,0.32
0.30,-0.24,-0.21
-0.05,0.06,0.10
-0.03,0.05,0.10
0.21,-0.24,-0.36
0.00,-0.29,-0.02
-0.00,0.10,0.39
0.16,-0.20,-0.00
0.08,0.03,0.14
0.12,-0.13,0.07
-0.04,0.11,0.31
-0.03,-0.15,0.14
-0.04,0.10,0.31
-0.08,0.25,0.15
0.36,-0.19,-0.44
-0.06,-0.01,0.31
-0.15,0.21,0.01
0.13,-0.35,-0.27
-0.17,0.18,0.18
0.06,-0.36,0.24
-0.01,0.12,0.23
0.12,0.06,0.01
0.04,-0.11,-0.13
0.01,-0.07,0.11
0.14,0.17,0.49
0.09,0.03,-0.10
-0.03,-0.03,0.15
-0.02,0.08,0.06
0.08,0.06,-0.04
0.07,0.02,0.00
-0.02,0.02,-0.01
0.07,0.03,-0.02
0.05,0.02,-0.01
0.11,-0.35,0.05
-0.21,0.13,0.20
0.00,-0.21,0.14
0.06,0.35,-0.07
0.15,-0.33,-0.15
-0.07,0.12,-0.08
0.06,-0.02,0.09
0.04,0.09,-0.09
0.10,-0.10,0.05
0.04,0.07,0.09
0.02,0.05,0.14
0.01,-0.10,0.03
-0.05,0.04,0.11
-0.09,0.05,0.07
0.10,-0.06,-0.27
0.14,0.56,-0.07
-0.14,-0.27,0.10
-0.23,-0.01,0.48
0.02,-0.14,-0.07
-0.02,0.07,-0.17
-0.15,-0.29,0.14
-0.22,-0.17,0.38
-0.09,0.26,0.06
0.10,-0.16,-0.03
0.00,0.04,0.04
0.11,0.07,-0.09
0.06,0.00,0.05
0.05,0.13,-0.00
-0.03,-0.20,-0.01
-0.21,0.08,0.30
0.31,-0.88,-0.32
0.02,0.65,0.19
-0.20,0.41,0.21
-0.02,-0.04,-0.32
-0.14,0.17,-0.04
-0.00,-0.30,-0.01
0.03,-0.09,-0.02
0.03,0.09,-0.03
0.06,-0.14,-0.06
0.02,0.17,-0.01
-0.10,0.06,0.08
0.03,-0.55,-0.17
0.12,-0.01,0.18
-0.07,0.12,0.11
0.03,-0.04,0.14
0.14,-0.04,0.14
-0.04,0.02,0.16
-0.14,0.06,0.34
0.03,-0.12,-0.14
0.07,-0.23,0.10
0.19,-0.19,0.07
0.06,0.07,0.06
-0.05,0.06,0.08
0.12,0.11,0.12
-0.02,-0.08,-0.18
-0.13,0.22,0.07
0.31,-0.11,0.01
-0.16,0.17,0.05
0.04,0.18,0.12
0.10,-0.20,-0.24
0.06,0.09,0.00
-0.06,0.13,-0.13
0.06,-0.02,0.01
-0.04,-0.03,0.02
0.03,0.07,0.16
-0.09,-0.03,0.01
-0.00,-0.04,0.09
-0.04,0.11,-0.01
0.01,-0.07,0.10
0.03,0.06,-0.04
-0.09,-0.05,0.10
0.04,0.13,0.04
0.00,0.12,0.04
-0.10,-0.01,-0.03
0.02,0.05,0.02
0.10,-0.09,0.14
0.04,-0.10,-0.00
-0.05,-0.13,0.11
-0.18,0.08,0.04
0.14,0.34,0.25
0.01,-0.80,-0.28
-0.16,0.36,0.45
0.31,-0.26,-0.33
-0.21,-0.05,0.11
0.09,-0.09,0.09
0.20,0.04,-0.21
0.05,-0.14,-0.02
0.02,-0.10,0.21
0.18,0.00,0.08
-0.02,0.03,-0.04
-0.11,-0.09,0.14
0.14,-0.06,0.01
0.20,0.02,-0.02
0.03,-0.11,0.13
-0.00,0.14,0.18
0.11,-0.00,0.06
-0.05,0.13,0.14
-0.25,1.04,0.25
0.18,-0.35,-0.39
-0.13,0.02,0.08
-0.05,-0.13,0.01
0.14,-0.02,-0.13
0.06,-0.08,-0.03
0.00,-0.13,-0.15
5.56,-1.62,-0.78
0.18,-0.13,0.02
0.74,2.66,6.62
0.01,-0.07,0.01
-0.09,1.30,0.28
-0.14,0.26,0.02
0.09,-0.10,-0.10
-0.23,-0.34,-1.07
-0.09,-0.03,0.04
-0.03,0.02,0.12
0.24,-0.33,0.29
0.30,0.14,0.07
1.31,2.62,2.05
0.08,-0.87,-0.47
0.02,0.22,0.17
0.04,0.36,-0.16
0.22,0.05,-0.22
-0.17,-0.19,-0.11
-0.05,-0.31,-0.33
0.36,0.30,0.05
-2.92,1.22,-2.30
0.09,-0.46,2.12
-0.02,0.01,0.11
0.20,0.35,0.40
1.52,2.52,0.84
-0.35,0.23,0.18
-0.17,0.61,0.94
0.00,-0.17,0.27
0.02,0.10,0.13
0.02,0.16,0.12
-0.06,0.08,0.04
3.33,-1.69,-1.03
1.16,0.16,-0.74
6.88,-4.56,-0.19
0.05,-0.06,-0.11
0.09,-0.07,0.06
-0.08,-0.19,0.04
0.24,-0.67,1.05
0.58,-1.46,0.98
-0.04,0.23,0.19
-5.39,2.37,0.66
0.01,0.02,-0.03
2.67,1.06,-0.23
-0.06,-0.13,-0.28
0.01,0.02,-0.09
-0.63,-0.70,0.93
0.04,-0.14,0.12
0.12,0.09,0.01
-0.18,0.49,0.12
-7.62,5.66,1.74
-0.50,-0.25,-1.18
0.17,-0.16,-0.06
0.60,0.18,-0.15
0.23,-0.47,-0.35
-0.78,2.18,1.42
0.10,0.04,-0.04
0.11,-0.03,0.28
1.98,0.64,-0.60
-0.06,-0.00,0.16
12.07,-5.51,2.94
-2.08,1.53,1.72
0.80,0.20,-0.63
0.00,-0.01,0.16
-0.01,0.02,0.08
0.02,-0.06,0.14
-1.22,0.96,1.23
0.08,0.31,0.48
0.26,0.03,0.12
-0.89,-0.80,0.17
-0.01,-0.13,0.10
2.57,-1.13,-2.32
2.89,0.51,-0.12
0.27,0.00,-0.07
0.46,-0.09,0.40
0.89,-1.41,-0.73
-0.23,-0.02,-2.66
0.00,0.06,0.07
-1.63,-0.88,-1.88
0.40,-0.07,-0.10
0.31,-0.81,-2.33
0.03,-0.10,-0.27
0.31,0.11,0.02
1.52,2.43,-1.04
1.38,-2.23,-5.73
-1.60,-0.54,2.23
-1.82,-1.65,0.40
0.40,3.00,1.48
0.31,0.10,0.15
0.80,-0.28,-1.56
0.08,-0.00,0.08
3.54,-1.74,0.45
0.22,0.17,-0.07
-0.07,-2.14,1.17
-0.77,0.30,-0.48
0.28,0.14,0.02
1.81,-1.43,3.69
0.16,-0.18,0.24
-2.17,1.66,4.82
-0.01,-0.00,-0.14
2.65,1.28,-1.53
-0.55,0.19,-0.46
-0.08,-0.01,0.14
-2.65,0.35,4.24
0.54,0.91,1.58
0.83,-15.26,-14.10
0.00,0.04,-0.08
-1.34,1.65,2.74
0.05,-0.10,-0.01
-1.31,-2.39,-1.94
3.51,3.61,0.91
-0.07,0.01,0.15
0.01,0.43,1.04
2.63,-2.21,0.28
2.25,-1.50,1.84
0.08,-0.23,-0.06
-0.44,-0.38,-1.10
-0.64,0.27,-0.10
0.14,0.10,0.12
-2.03,-6.85,-0.49
2.99,0.36,-1.47
-0.06,0.33,0.53
-0.99,1.02,1.37
-2.58,17.51,14.51
-0.09,0.38,-0.36
6.52,-4.51,-3.34
0.20,-0.12,1.34
-0.11,2.73,-5.62
-0.02,-0.07,0.24
-0.58,-1.25,4.92
1.86,-3.53,11.40
-0.44,0.63,0.89
0.08,-0.23,0.06
0.29,0.05,0.09
-0.74,-0.26,0.76
-0.00,0.05,0.08
3.10,0.14,-0.49
0.26,0.28,0.08
0.22,0.07,0.00
2.05,-4.37,5.19
-0.19,1.70,-1.57
-0.70,-0.96,0.40
0.04,0.11,0.08
0.10,-0.98,4.88
0.00,0.27,0.23
0.29,0.22,-0.02
0.54,0.82,2.88
-0.13,0.14,0.36
0.20,0.20,0.06
-0.05,0.06,0.25
-0.03,-0.15,0.10
-2.45,-0.98,0.71
2.25,-0.21,0.34
-0.05,0.11,0.17
1.52,-9.72,1.56
-0.05,0.18,0.23
0.26,0.04,0.17
5.19,3.18,3.14
0.28,0.16,0.04
0.19,0.12,0.04
-0.05,-0.00,0.08
-0.46,-0.74,6.84
3.12,1.06,1.40
0.59,0.19,-5.07
0.00,0.05,0.12
0.06,-0.13,-0.11
-0.33,1.35,-1.12
-0.39,1.63,-1.86
-0.15,-1.78,-1.87
-0.08,-0.02,0.11
0.84,-1.38,1.00
0.18,0.19,-0.51
15.60,4.29,-5.22
0.00,0.15,0.07
-0.64,-1.63,-0.73
0.03,0.04,0.13
0.10,0.47,-0.21
0.01,-0.30,-0.13
0.42,0.22,0.15
-0.14,-0.51,-0.85
-0.13,-2.35,1.19
0.26,-0.07,0.21
0.02,0.00,0.13
1.02,-2.00,1.08
-0.04,0.04,-0.41
4.54,0.41,-0.10
0.02,0.14,-0.07
-0.05,0.07,0.48
1.60,-0.17,0.62
0.29,1.26,0.13
0.79,0.85,-1.10
2.19,-3.66,4.70
0.01,-0.20,-0.16
1.01,0.10,0.23
-0.85,0.60,2.49
0.09,0.02,0.01
9.84,6.90,6.14
6.81,-3.31,2.49
0.89,2.81,-6.96
0.32,0.05,0.05
0.08,-0.12,-0.21
1.73,0.87,-0.51
2.68,3.11,-5.48
1.34,-0.06,0.39
0.04,0.04,0.14
0.13,-0.70,-1.14
0.73,4.26,-1.82
0.01,-1.60,0.47
0.08,0.20,-0.13
-0.04,0.03,0.04
-0.12,0.03,0.38
-0.00,0.03,0.18
0.02,1.95,3.45
0.01,-0.18,0.16
0.46,-0.74,-1.58
0.28,0.39,0.16
-0.22,0.15,0.43
-2.09,-1.74,0.87
0.36,0.00,0.13
0.06,0.01,0.12
-0.01,0.11,0.11
0.04,-0.05,0.04
1.12,-0.62,0.59
0.40,0.53,-0.35
0.05,-0.02,0.05
-0.00,-0.02,0.01
-0.06,0.07,0.15
-1.11,0.09,-1.21
0.06,-0.07,0.05
0.03,0.00,0.13
1.00,3.94,-7.05
-0.15,-0.87,1.79
0.03,-0.01,0.11
-3.38,3.22,0.14
0.41,0.21,0.16
5.19,-0.39,8.20
-0.62,6.05,-0.72
0.16,-0.59,1.47
0.02,0.17,0.09
-0.04,0.03,-0.00
-3.96,-3.60,-3.39
0.44,-0.08,-0.24
5.11,0.95,-4.61
2.21,0.64,0.75
0.27,1.65,1.96
-0.01,-0.53,-0.44
-0.04,0.02,0.11
-0.14,-0.86,-0.36
0.03,0.03,0.13
0.24,-1.38,0.57
5.03,6.38,-3.15
-4.14,0.98,2.31
-0.01,0.09,0.23
0.40,-0.26,0.19
-0.07,0.03,0.14
-0.04,0.14,0.04
1.13,3.76,2.14
-0.05,-1.41,0.65
-8.10,3.17,0.97
-0.22,-0.12,0.36
-0.11,0.03,0.11
0.26,0.25,-0.02
0.54,0.13,-0.51
0.21,0.33,0.04
